CWE-ID,Name,Messages
468,Incorrect Pointer Scaling,
469,Use of Pointer Subtraction to Determine Size,
470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),
471,Modification of Assumed-Immutable Data (MAID),
472,External Control of Assumed-Immutable Web Parameter,
474,Use of Function with Inconsistent Implementations,
475,Undefined Behavior for Input to API,
476,NULL Pointer Dereference,
477,Use of Obsolete Function,
478,Missing Default Case in Multiple Condition Expression,
480,Use of Incorrect Operator,
483,Incorrect Block Delimitation,
484,Omitted Break Statement in Switch,
487,Reliance on Package-level Scope,
488,Exposure of Data Element to Wrong Session,
489,Active Debug Code,
494,Download of Code Without Integrity Check,
497,Exposure of Sensitive System Information to an Unauthorized Control Sphere,
501,Trust Boundary Violation,
502,Deserialization of Untrusted Data,
506,Embedded Malicious Code,
507,Trojan Horse,
508,Non-Replicating Malicious Code,
509,Replicating Malicious Code (Virus or Worm),
510,Trapdoor,
511,Logic/Time Bomb,
512,Spyware,
514,Covert Channel,
515,Covert Storage Channel,
521,Weak Password Requirements,
522,Insufficiently Protected Credentials,
523,Unprotected Transport of Credentials,
524,Use of Cache Containing Sensitive Information,
532,Insertion of Sensitive Information into Log File,
538,Insertion of Sensitive Information into Externally-Accessible File or Directory,
540,Inclusion of Sensitive Information in Source Code,
544,Missing Standardized Error Handling Mechanism,
547,Use of Hard-coded, Security-relevant Constants,
549,Missing Password Field Masking,
551,Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,
552,Files or Directories Accessible to External Parties,
561,Dead Code,
562,Return of Stack Variable Address,
563,Assignment to Variable without Use,
565,Reliance on Cookies without Validation and Integrity Checking,
567,Unsynchronized Access to Shared Data in a Multithreaded Context,
570,Expression is Always False,
571,Expression is Always True,
573,Improper Following of Specification by Caller,
581,Object Model Violation: Just One of Equals and Hashcode Defined,
584,Return Inside Finally Block,
586,Explicit Call to Finalize(),
601,URL Redirection to Untrusted Site ('Open Redirect'),
602,Client-Side Enforcement of Server-Side Security,
603,Use of Client-Side Authentication,
605,Multiple Binds to the Same Port,
606,Unchecked Input for Loop Condition,
609,Double-Checked Locking,
610,Externally Controlled Reference to a Resource in Another Sphere,
611,Improper Restriction of XML External Entity Reference,
612,Improper Authorization of Index Containing Sensitive Information,
613,Insufficient Session Expiration,
617,Reachable Assertion,
619,Dangling Database Cursor ('Cursor Injection'),
620,Unverified Password Change,
624,Executable Regular Expression Error,
625,Permissive Regular Expression,
628,Function Call with Incorrectly Specified Arguments,
636,Not Failing Securely ('Failing Open'),
637,Unnecessary Complexity in Protection Mechanism (Not Using 'Economy of Mechanism'),
638,Not Using Complete Mediation,
639,Authorization Bypass Through User-Controlled Key,
640,Weak Password Recovery Mechanism for Forgotten Password,
641,Improper Restriction of Names for Files and Other Resources,
642,External Control of Critical State Data,
643,Improper Neutralization of Data within XPath Expressions ('XPath Injection'),
645,Overly Restrictive Account Lockout Mechanism,
648,Incorrect Use of Privileged APIs,
649,Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking,
652,Improper Neutralization of Data within XQuery Expressions ('XQuery Injection'),
653,Improper Isolation or Compartmentalization,
654,Reliance on a Single Factor in a Security Decision,
655,Insufficient Psychological Acceptability,
656,Reliance on Security Through Obscurity,
657,Violation of Secure Design Principles,
662,Improper Synchronization,
663,Use of a Non-reentrant Function in a Concurrent Context,
665,Improper Initialization,
666,Operation on Resource in Wrong Phase of Lifetime,
667,Improper Locking,
668,Exposure of Resource to Wrong Sphere,
669,Incorrect Resource Transfer Between Spheres,
670,Always-Incorrect Control Flow Implementation,
671,Lack of Administrator Control over Security,
672,Operation on a Resource after Expiration or Release,
673,External Influence of Sphere Definition,
674,Uncontrolled Recursion,
675,Multiple Operations on Resource in Single-Operation Context,
676,Use of Potentially Dangerous Function,
681,Incorrect Conversion between Numeric Types,
684,Incorrect Provision of Specified Functionality,
694,Use of Multiple Resources with Duplicate Identifier,
695,Use of Low-Level Functionality,
696,Incorrect Behavior Order,
698,Execution After Redirect (EAR),
704,Incorrect Type Conversion or Cast,
705,Incorrect Control Flow Scoping,
706,Use of Incorrectly-Resolved Name or Reference,
708,Incorrect Ownership Assignment,
732,Incorrect Permission Assignment for Critical Resource,
733,Compiler Optimization Removal or Modification of Security-critical Code,
749,Exposed Dangerous Method or Function,
754,Improper Check for Unusual or Exceptional Conditions,
755,Improper Handling of Exceptional Conditions,
756,Missing Custom Error Page,
757,Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade'),
758,Reliance on Undefined, Unspecified, or Implementation-Defined Behavior,
763,Release of Invalid Pointer or Reference,
764,Multiple Locks of a Critical Resource,
765,Multiple Unlocks of a Critical Resource,
766,Critical Data Element Declared Public,
767,Access to Critical Private Variable via Public Method,
770,Allocation of Resources Without Limits or Throttling,
771,Missing Reference to Active Allocated Resource,
772,Missing Release of Resource after Effective Lifetime,
776,Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),
778,Insufficient Logging,
779,Logging of Excessive Data,
783,Operator Precedence Logic Error,
786,Access of Memory Location Before Start of Buffer,
787,Out-of-bounds Write,
788,Access of Memory Location After End of Buffer,
790,Improper Filtering of Special Elements,
791,Incomplete Filtering of Special Elements,
795,Only Filtering Special Elements at a Specified Location,
798,Use of Hard-coded Credentials,
799,Improper Control of Interaction Frequency,
804,Guessable CAPTCHA,
805,Buffer Access with Incorrect Length Value,
807,Reliance on Untrusted Inputs in a Security Decision,
820,Missing Synchronization,
821,Incorrect Synchronization,
822,Untrusted Pointer Dereference,
823,Use of Out-of-range Pointer Offset,
824,Access of Uninitialized Pointer,
825,Expired Pointer Dereference,
826,Premature Release of Resource During Expected Lifetime,
829,Inclusion of Functionality from Untrusted Control Sphere,
832,Unlock of a Resource that is not Locked,
833,Deadlock,
834,Excessive Iteration,
835,Loop with Unreachable Exit Condition ('Infinite Loop'),
836,Use of Password Hash Instead of Password for Authentication,
837,Improper Enforcement of a Single, Unique Action,
838,Inappropriate Encoding for Output Context,
839,Numeric Range Comparison Without Minimum Check,
841,Improper Enforcement of Behavioral Workflow,
842,Placement of User into Incorrect Group,
843,Access of Resource Using Incompatible Type ('Type Confusion'),
862,Missing Authorization,
863,Incorrect Authorization,
908,Use of Uninitialized Resource,
909,Missing Initialization of Resource,
910,Use of Expired File Descriptor,
911,Improper Update of Reference Count,
912,Hidden Functionality,
913,Improper Control of Dynamically-Managed Code Resources,
914,Improper Control of Dynamically-Identified Variables,
915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,
916,Use of Password Hash With Insufficient Computational Effort,
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),
918,Server-Side Request Forgery (SSRF),
920,Improper Restriction of Power Consumption,
921,Storage of Sensitive Data in a Mechanism without Access Control,
922,Insecure Storage of Sensitive Information,
923,Improper Restriction of Communication Channel to Intended Endpoints,
924,Improper Enforcement of Message Integrity During Transmission in a Communication Channel,
939,Improper Authorization in Handler for Custom URL Scheme,
940,Improper Verification of Source of a Communication Channel,
941,Incorrectly Specified Destination in a Communication Channel,
943,Improper Neutralization of Special Elements in Data Query Logic,
1007,Insufficient Visual Distinction of Homoglyphs Presented to User,
1021,Improper Restriction of Rendered UI Layers or Frames,
1023,Incomplete Comparison with Missing Factors,
1024,Comparison of Incompatible Types,
1025,Comparison Using Wrong Factors,
1037,Processor Optimization Removal or Modification of Security-critical Code,
1038,Insecure Automated Optimizations,
1039,Automated Recognition Mechanism with Inadequate Detection or Handling of Adversarial Input Perturbations,
1041,Use of Redundant Code,
1043,Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,
1044,Architecture with Number of Horizontal Layers Outside of Expected Range,
1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,
1046,Creation of Immutable Text Using String Concatenation,
1047,Modules with Circular Dependencies,
1048,Invokable Control Element with Large Number of Outward Calls,
1049,Excessive Data Query Operations in a Large Data Table,
1050,Excessive Platform Resource Consumption within a Loop,
1051,Initialization with Hard-Coded Network Resource Configuration Data,
1052,Excessive Use of Hard-Coded Literals in Initialization,
1053,Missing Documentation for Design,
1054,Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,
1055,Multiple Inheritance from Concrete Classes,
1056,Invokable Control Element with Variadic Parameters,
1057,Data Access Operations Outside of Expected Data Manager Component,
1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,
1059,Insufficient Technical Documentation,
1060,Excessive Number of Inefficient Server-Side Data Accesses,
1061,Insufficient Encapsulation,
1062,Parent Class with References to Child Class,
1063,Creation of Class Instance within a Static Code Block,
1064,Invokable Control Element with Signature Containing an Excessive Number of Parameters,
1065,Runtime Resource Management Control Element in a Component Built to Run on Application Servers,
1066,Missing Serialization Control Element,
1067,Excessive Execution of Sequential Searches of Data Resource,
1068,Inconsistency Between Implementation and Documented Design,
1070,Serializable Data Element Containing non-Serializable Item Elements,
1071,Empty Code Block,
1072,Data Resource Access without Use of Connection Pooling,
1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,
1074,Class with Excessively Deep Inheritance,
1075,Unconditional Control Flow Transfer outside of Switch Block,
1076,Insufficient Adherence to Expected Conventions,
1078,Inappropriate Source Code Style or Formatting,
1079,Parent Class without Virtual Destructor Method,
1080,Source Code File with Excessive Number of Lines of Code,
1082,Class Instance Self Destruction Control Element,
1083,Data Access from Outside Expected Data Manager Component,
1084,Invokable Control Element with Excessive File or Data Access Operations,
1085,Invokable Control Element with Excessive Volume of Commented-out Code,
1086,Class with Excessive Number of Child Classes,
1087,Class with Virtual Method without a Virtual Destructor,
1088,Synchronous Access of Remote Resource without Timeout,
1089,Large Data Table with Excessive Number of Indices,
1090,Method Containing Access of a Member Element from Another Class,
1091,Use of Object without Invoking Destructor Method,
1092,Use of Same Invokable Control Element in Multiple Architectural Layers,
1093,Excessively Complex Data Representation,
1094,Excessive Index Range Scan for a Data Resource,
1095,Loop Condition Value Update within the Loop,
1097,Persistent Storable Data Element without Associated Comparison Control Element,
1098,Data Element containing Pointer Item without Proper Copy Control Element,
1099,Inconsistent Naming Conventions for Identifiers,
1100,Insufficient Isolation of System-Dependent Functions,
1101,Reliance on Runtime Component in Generated Code,
1102,Reliance on Machine-Dependent Data Representation,
1103,Use of Platform-Dependent Third Party Components,
1104,Use of Unmaintained Third Party Components,
1105,Insufficient Encapsulation of Machine-Dependent Functionality,
1106,Insufficient Use of Symbolic Constants,
1107,Insufficient Isolation of Symbolic Constant Definitions,
1108,Excessive Reliance on Global Variables,
1109,Use of Same Variable for Multiple Purposes,
1110,Incomplete Design Documentation,
1111,Incomplete I/O Documentation,
1112,Incomplete Documentation of Program Execution,
1113,Inappropriate Comment Style,
1114,Inappropriate Whitespace Style,
1115,Source Code Element without Standard Prologue,
1116,Inaccurate Comments,
1117,Callable with Insufficient Behavioral Summary,
1118,Insufficient Documentation of Error Handling Techniques,
1119,Excessive Use of Unconditional Branching,
1120,Excessive Code Complexity,
1121,Excessive McCabe Cyclomatic Complexity,
1122,Excessive Halstead Complexity,
1123,Excessive Use of Self-Modifying Code,
1124,Excessively Deep Nesting,
1125,Excessive Attack Surface,
1126,Declaration of Variable with Unnecessarily Wide Scope,
1127,Compilation with Insufficient Warnings or Errors,
1164,Irrelevant Code,
1173,Improper Use of Validation Framework,
1176,Inefficient CPU Computation,
1177,Use of Prohibited Code,
1188,Insecure Default Initialization of Resource,
1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC),
1190,DMA Device Enabled Too Early in Boot Phase,
1191,On-Chip Debug and Test Interface With Improper Access Control,
1192,System-on-Chip (SoC) Using Components without Unique, Immutable Identifiers,
1193,Power-On of Untrusted Execution Core Before Enabling Fabric Access Control,
1204,Generation of Weak Initialization Vector (IV),
1209,Failure to Disable Reserved Bits,
1220,Insufficient Granularity of Access Control,
1221,Incorrect Register Defaults or Module Parameters,
1223,Race Condition for Write-Once Attributes,
1224,Improper Restriction of Write-Once Bit Fields,
1229,Creation of Emergent Resource,
1230,Exposure of Sensitive Information Through Metadata,
1231,Improper Prevention of Lock Bit Modification,
1232,Improper Lock Behavior After Power State Transition,
1233,Security-Sensitive Hardware Controls with Missing Lock Bit Protection,
1234,Hardware Internal or Debug Modes Allow Override of Locks,
1235,Incorrect Use of Autoboxing and Unboxing for Performance Critical Operations,
1236,Improper Neutralization of Formula Elements in a CSV File,
1240,Use of a Cryptographic Primitive with a Risky Implementation,
1241,Use of Predictable Algorithm in Random Number Generator,
1242,Inclusion of Undocumented Features or Chicken Bits,
1243,Sensitive Non-Volatile Information Not Protected During Debug,
1244,Internal Asset Exposed to Unsafe Debug Access Level or State,
1245,Improper Finite State Machines (FSMs) in Hardware Logic,
1246,Improper Write Handling in Limited-write Non-Volatile Memories,
1247,Improper Protection Against Voltage and Clock Glitches,
1248,Semiconductor Defects in Hardware Logic with Security-Sensitive Implications,
1249,Application-Level Admin Tool with Inconsistent View of Underlying Operating System,
1250,Improper Preservation of Consistency Between Independent Representations of Shared State,
1251,Mirrored Regions with Different Values,
1252,CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations,
1253,Incorrect Selection of Fuse Values,
1254,Incorrect Comparison Logic Granularity,
1256,Improper Restriction of Software Interfaces to Hardware Features,
1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,
1258,Exposure of Sensitive System Information Due to Uncleared Debug Information,
1259,Improper Restriction of Security Token Assignment,
1260,Improper Handling of Overlap Between Protected Memory Ranges,
1261,Improper Handling of Single Event Upsets,
1262,Improper Access Control for Register Interface,
1263,Improper Physical Access Control,
1264,Hardware Logic with Insecure De-Synchronization between Control and Data Channels,
1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,
1266,Improper Scrubbing of Sensitive Data from Decommissioned Device,
1267,Policy Uses Obsolete Encoding,
1268,Policy Privileges are not Assigned Consistently Between Control and Data Agents,
1269,Product Released in Non-Release Configuration,
1270,Generation of Incorrect Security Tokens,
1271,Uninitialized Value on Reset for Registers Holding Security Settings,
1272,Sensitive Information Uncleared Before Debug/Power State Transition,
1273,Device Unlock Credential Sharing,
1274,Improper Access Control for Volatile Memory Containing Boot Code,
1276,Hardware Child Block Incorrectly Connected to Parent System,
1277,Firmware Not Updateable,
1278,Missing Protection Against Hardware Reverse Engineering Using Integrated Circuit (IC) Imaging Techniques,
1279,Cryptographic Operations are run Before Supporting Units are Ready,
1280,Access Control Check Implemented After Asset is Accessed,
1281,Sequence of Processor Instructions Leads to Unexpected Behavior,
1282,Assumed-Immutable Data is Stored in Writable Memory,
1283,Mutable Attestation or Measurement Reporting Data,
1284,Improper Validation of Specified Quantity in Input,
1285,Improper Validation of Specified Index, Position, or Offset in Input,
1286,Improper Validation of Syntactic Correctness of Input,
1287,Improper Validation of Specified Type of Input,
1288,Improper Validation of Consistency within Input,
1289,Improper Validation of Unsafe Equivalence in Input,
1290,Incorrect Decoding of Security Identifiers ,
1291,Public Key Re-Use for Signing both Debug and Production Code,
1292,Incorrect Conversion of Security Identifiers,
1293,Missing Source Correlation of Multiple Independent Data,
1294,Insecure Security Identifier Mechanism,
1295,Debug Messages Revealing Unnecessary Information,
1296,Incorrect Chaining or Granularity of Debug Components,
1297,Unprotected Confidential Information on Device is Accessible by OSAT Vendors,
1298,Hardware Logic Contains Race Conditions,
1299,Missing Protection Mechanism for Alternate Hardware Interface,
1300,Improper Protection of Physical Side Channels,
1301,Insufficient or Incomplete Data Removal within Hardware Component,
1302,Missing Security Identifier,
1303,Non-Transparent Sharing of Microarchitectural Resources,
1304,Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation,
1310,Missing Ability to Patch ROM Code,
1311,Improper Translation of Security Attributes by Fabric Bridge,
1312,Missing Protection for Mirrored Regions in On-Chip Fabric Firewall,
1313,Hardware Allows Activation of Test or Debug Logic at Runtime,
1314,Missing Write Protection for Parametric Data Values,
1315,Improper Setting of Bus Controlling Capability in Fabric End-point,
1316,Fabric-Address Map Allows Programming of Unwarranted Overlaps of Protected and Unprotected Ranges,
1317,Improper Access Control in Fabric Bridge,
1318,Missing Support for Security Features in On-chip Fabrics or Buses,
1319,Improper Protection against Electromagnetic Fault Injection (EM-FI),
1320,Improper Protection for Outbound Error Messages and Alert Signals,
1322,Use of Blocking Code in Single-threaded, Non-blocking Context,
1323,Improper Management of Sensitive Trace Data,
1325,Improperly Controlled Sequential Memory Allocation,
1326,Missing Immutable Root of Trust in Hardware,
1327,Binding to an Unrestricted IP Address,
1328,Security Version Number Mutable to Older Versions,
1329,Reliance on Component That is Not Updateable,
1331,Improper Isolation of Shared Resources in Network On Chip (NoC),
1332,Improper Handling of Faults that Lead to Instruction Skips,
1333,Inefficient Regular Expression Complexity,
1334,Unauthorized Error Injection Can Degrade Hardware Redundancy,
1335,Incorrect Bitwise Shift of Integer,
1336,Improper Neutralization of Special Elements Used in a Template Engine,
1338,Improper Protections Against Hardware Overheating,
1339,Insufficient Precision or Accuracy of a Real Number,
1341,Multiple Releases of Same Resource or Handle,
1342,Information Exposure through Microarchitectural State after Transient Execution,
1351,Improper Handling of Hardware Behavior in Exceptionally Cold Environments,
1357,Reliance on Insufficiently Trustworthy Component,
1384,Improper Handling of Physical or Environmental Conditions,
1386,Insecure Operation on Windows Junction / Mount Point,
1389,Incorrect Parsing of Numbers with Different Radices,
1390,Weak Authentication,
1391,Use of Weak Credentials,
1392,Use of Default Credentials,
1393,Use of Default Password,
1394,Use of Default Cryptographic Key,
1395,Dependency on Vulnerable Third-Party Component,
