CWE-ID,Key Words,Name,Description
90,"neutralization,element,query,injection",Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),"The product constructs all or part of an LDAP query using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended LDAP query when it is sent to a downstream component."
91,"xml,injection",XML Injection (aka Blind XPath Injection),"The product does not properly neutralize special elements that are used in XML, allowing attackers to modify the syntax, content, or commands of the XML before it is processed by an end system."
93,"neutralization,sequence,injection",Improper Neutralization of CRLF Sequences ('CRLF Injection'),"The product uses CRLF (carriage return line feeds) as a special element, e.g. to separate lines or records, but it does not neutralize or incorrectly neutralizes CRLF sequences from inputs."
94,"control,generation,code,code,injection",Improper Control of Generation of Code ('Code Injection'),"The product constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."
96,"neutralization,directive,code,code,injection",Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes code syntax before inserting the input into an executable resource, such as a library, configuration file, or template."
99,"control,resource,identifier,resource,injection",Improper Control of Resource Identifiers ('Resource Injection'),"The product receives input from an upstream component, but it does not restrict or incorrectly restricts the input before it is used as an identifier for a resource that may be outside the intended sphere of control."
112,"xml,validation",Missing XML Validation,The product accepts XML from an untrusted source but does not validate the XML against the proper schema.
114,"process,control",Process Control,Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker.
115,"misinterpretation,input",Misinterpretation of Input,"The product misinterprets an input, whether from an attacker or another product, in a security-relevant fashion."
116,"encoding,escaping,output",Improper Encoding or Escaping of Output,"The product prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved."
117,"output,neutralization,log",Improper Output Neutralization for Logs,The product does not neutralize or incorrectly neutralizes output that is written to logs.
118,"access,resource,range,error",Incorrect Access of Indexable Resource ('Range Error'),"The product does not restrict or incorrectly restricts operations within the boundaries of a resource that is accessed using an index or pointer, such as memory or files."
119,"restriction,operation,bound,memory,buffer",Improper Restriction of Operations within the Bounds of a Memory Buffer,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
120,"buffer,copy,size,input,buffer,overflow",Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),"The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow."
123,condition,Write-what-where Condition,"Any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow."
124,underflow,Buffer Underwrite ('Buffer Underflow'),The product writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.
125,outofbounds,Out-of-bounds Read,"The product reads data past the end, or before the beginning, of the intended buffer."
128,"wraparound,error",Wrap-around Error,"Wrap around errors occur whenever a value is incremented past the maximum value for its type and therefore wraps around to a very small, negative, or undefined value."
130,"handling,length,parameter,inconsistency",Improper Handling of Length Parameter Inconsistency,"The product parses a formatted message or structure, but it does not handle or incorrectly handles a length field that is inconsistent with the actual length of the associated data."
131,"calculation,buffer,size",Incorrect Calculation of Buffer Size,"The product does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow."
134,"use,format,string",Use of Externally-Controlled Format String,"The product uses a function that accepts a format string as an argument, but the format string originates from an external source."
135,"calculation,multibyte,string,length",Incorrect Calculation of Multi-Byte String Length,The product does not correctly calculate the length of strings that can contain wide or multi-byte characters.
138,"neutralization,element",Improper Neutralization of Special Elements,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as control elements or syntactic markers when they are sent to a downstream component."
140,"neutralization,delimiters",Improper Neutralization of Delimiters,The product does not neutralize or incorrectly neutralizes delimiters.
159,"handling,use,element",Improper Handling of Invalid Use of Special Elements,"The product does not properly filter, remove, quote, or otherwise manage the invalid use of special elements in user-controlled input, which could cause adverse effect on its behavior and integrity."
166,"handling,element",Improper Handling of Missing Special Element,"The product receives input from an upstream component, but it does not handle or incorrectly handles when an expected special element is missing."
167,"handling,element",Improper Handling of Additional Special Element,"The product receives input from an upstream component, but it does not handle or incorrectly handles when an additional unexpected special element is provided."
168,"handling,element",Improper Handling of Inconsistent Special Elements,The product does not properly handle input in which an inconsistency exists between two or more special characters or reserved words.
170,termination,Improper Null Termination,The product does not terminate or incorrectly terminates a string or array with a null character or equivalent terminator.
172,error,Encoding Error,"The product does not properly encode or decode the data, resulting in unexpected values."
178,"handling,case,sensitivity",Improper Handling of Case Sensitivity,"The product does not properly account for differences in case sensitivity when accessing or determining the properties of a resource, leading to inconsistent results."
179,"behavior,order,validation",Incorrect Behavior Order: Early Validation,"The product validates input before applying protection mechanisms that modify the input, which could allow an attacker to bypass the validation via dangerous inputs that only arise after the modification."
182,"collapse,data,value",Collapse of Data into Unsafe Value,The product filters data in a way that causes it to be reduced or collapsed into an unsafe value that violates an expected security property.
183,"list,input",Permissive List of Allowed Inputs,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are explicitly allowed by policy because the inputs are assumed to be safe, but the list is too permissive - that is, it allows an input that is unsafe, leading to resultant weaknesses."
184,"list,input",Incomplete List of Disallowed Inputs,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are not allowed by policy or otherwise require other action to neutralize before additional processing takes place, but the list is incomplete, leading to resultant weaknesses."
185,expression,Incorrect Regular Expression,The product specifies a regular expression in a way that causes data to be improperly matched or compared.
186,expression,Overly Restrictive Regular Expression,"A regular expression is overly restrictive, which prevents dangerous values from being detected."
188,"reliance,layout",Reliance on Data/Memory Layout,"The product makes invalid assumptions about how protocol data or memory is organized at a lower level, resulting in unintended program behavior."
190,overflow,Integer Overflow or Wraparound,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
191,"int underflow, wrap, wraparound",Integer Underflow (Wrap or Wraparound),"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result."
193,error,Off-by-one Error,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value."
197,"truncation,error",Numeric Truncation Error,Truncation errors occur when a primitive is cast to a primitive of a smaller size and data is lost in the conversion.
200,"exposure,information,actor",Exposure of Sensitive Information to an Unauthorized Actor,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
201,"insertion,information,data",Insertion of Sensitive Information Into Sent Data,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor."
202,"exposure,information,data,query",Exposure of Sensitive Information Through Data Queries,"When trying to keep information confidential, an attacker can often infer some of the information by using statistics."
203,discrepancy,Observable Discrepancy,"The product behaves differently or sends different responses under different circumstances in a way that is observable to an unauthorized actor, which exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not."
204,"response,discrepancy",Observable Response Discrepancy,The product provides different responses to incoming requests in a way that reveals internal state information to an unauthorized actor outside of the intended control sphere.
205,discrepancy,Observable Behavioral Discrepancy,"The product's behaviors indicate important differences that may be observed by unauthorized actors in a way that reveals (1) its internal state or decision process, or (2) differences from other products with equivalent functionality."
208,"timing,discrepancy",Observable Timing Discrepancy,"Two separate operations in a product require different amounts of time to complete, in a way that is observable to an actor and reveals security-relevant information about the state of the product, such as whether a particular operation was successful or not."
209,"generation,error,message,information",Generation of Error Message Containing Sensitive Information,"The product generates an error message that includes sensitive information about its environment, users, or associated data."
210,"error,message,information",Self-generated Error Message Containing Sensitive Information,The product identifies an error condition and creates its own diagnostic or error messages that contain sensitive information.
211,"error,message,information",Externally-Generated Error Message Containing Sensitive Information,"The product performs an operation that triggers an external diagnostic or error message that is not directly generated or controlled by the product, such as an error generated by the programming language interpreter that a software application uses. The error can contain sensitive system information."
212,"removal,information,storage",Improper Removal of Sensitive Information Before Storage or Transfer,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors."
213,"exposure,information,policy",Exposure of Sensitive Information Due to Incompatible Policies,"The product's intended functionality exposes information to certain actors in accordance with the developer's security policy, but this information is regarded as sensitive according to the intended security policies of other stakeholders such as the product's administrator, users, or others whose information is being processed."
214,"invocation,process,information",Invocation of Process Using Visible Sensitive Information,"A process is invoked with sensitive command-line arguments, environment variables, or other elements that can be seen by other processes on the operating system."
215,"insertion,information,code",Insertion of Sensitive Information Into Debugging Code,"The product inserts sensitive information into debugging code, which could expose this information if the debugging code is not disabled in production."
221,"information,loss,omission",Information Loss or Omission,"The product does not record, or improperly records, security-relevant information that leads to an incorrect decision or hampers later analysis."
222,"truncation,information",Truncation of Security-relevant Information,"The product truncates the display, recording, or processing of security-relevant information in a way that can obscure the source or nature of an attack."
223,"omission,information",Omission of Security-relevant Information,"The product does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe."
224,"securityrelevant,information,name",Obscured Security-relevant Information by Alternate Name,"The product records security-relevant information according to an alternate name of the affected entity, instead of the canonical name."
226,"information,resource,reuse",Sensitive Information in Resource Not Removed Before Reuse,"The product releases a resource such as memory or a file so that it can be made available for reuse, but it does not clear or zeroize the information contained in the resource before the product performs a critical state transition or makes the resource available for reuse by other entities."
228,"handling,structure",Improper Handling of Syntactically Invalid Structure,The product does not handle or incorrectly handles input that is not syntactically well-formed with respect to the associated specification.
229,"handling,value",Improper Handling of Values,"The product does not properly handle when the expected number of values for parameters, fields, or arguments is not provided in input, or if those values are undefined."
233,"handling,parameter",Improper Handling of Parameters,"The product does not properly handle when the expected number of parameters, fields, or arguments is not provided in input, or if those parameters are undefined."
237,"handling,element",Improper Handling of Structural Elements,The product does not handle or incorrectly handles inputs that are related to complex structures.
240,"handling,element",Improper Handling of Inconsistent Structural Elements,"The product does not handle or incorrectly handles when two or more structural elements should be consistent, but are not."
241,"handling,data,type",Improper Handling of Unexpected Data Type,"The product does not handle or incorrectly handles when a particular element is not the expected type, e.g. it expects a digit (0-9) but is provided with a letter (A-Z)."
242,"use,function",Use of Inherently Dangerous Function,The product calls a function that can never be guaranteed to work safely.
248,exception,Uncaught Exception,"An exception is thrown from a function, but it is not caught."
250,"execution,privilege",Execution with Unnecessary Privileges,"The product performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses."
252,"return,value",Unchecked Return Value,"The product does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions."
253,"check,function,return,value",Incorrect Check of Function Return Value,"The product incorrectly checks a return value from a function, which prevents it from detecting errors or exceptional conditions."
256,"plaintext,storage,password",Plaintext Storage of a Password,Storing a password in plaintext may result in a system compromise.
257,"password,format",Storing Passwords in a Recoverable Format,"The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users. In fact, it should be noted that recoverable encrypted passwords provide no significant benefit over plaintext passwords since they are subject not only to reuse by malicious attackers but also by malicious insiders. If a system administrator can recover a password directly, or use a brute force search on the available information, the administrator can use the password on other accounts."
260,"configuration,file",Password in Configuration File,The product stores a password in a configuration file that might be accessible to actors who do not know the password.
261,"encoding,password",Weak Encoding for Password,Obscuring a password with a trivial encoding does not protect the password.
262,"password,aging",Not Using Password Aging,The product does not have a mechanism in place for managing password aging.
263,"password,expiration",Password Aging with Long Expiration,"The product supports password aging, but the expiration period is too long."
266,"privilege,assignment",Incorrect Privilege Assignment,"A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor."
267,"privilege,action",Privilege Defined With Unsafe Actions,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity."
268,privilege,Privilege Chaining,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination."
269,"privilege,management",Improper Privilege Management,"The product does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor."
270,"privilege,context,error",Privilege Context Switching Error,The product does not properly manage privileges while it is switching between different contexts that have different privileges or spheres of control.
271,"privilege,error",Privilege Dropping / Lowering Errors,The product does not drop privileges before passing control of a resource to an actor that does not have those privileges.
272,"privilege,violation",Least Privilege Violation,The elevated privilege level required to perform operations such as chroot() should be dropped immediately after the operation is performed.
273,"check,privilege",Improper Check for Dropped Privileges,The product attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.
274,"handling,privilege",Improper Handling of Insufficient Privileges,"The product does not handle or incorrectly handles when it has insufficient privileges to perform an operation, leading to resultant weaknesses."
276,"default,permission",Incorrect Default Permissions,"During installation, installed file permissions are set to allow anyone to modify those files."
280,"handling,permission,privilege",Improper Handling of Insufficient Permissions or Privileges,The product does not handle or incorrectly handles when it has insufficient privileges to access resources or functionality as specified by their permissions. This may cause it to follow unexpected code paths that may leave the product in an invalid state.
281,"preservation,permission",Improper Preservation of Permissions,"The product does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended."
282,"ownership,management",Improper Ownership Management,"The product assigns the wrong ownership, or does not properly verify the ownership, of an object or resource."
283,ownership,Unverified Ownership,The product does not properly verify that a critical resource is owned by the proper entity.
285,authorization,Improper Authorization,The product does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.
286,"user,management",Incorrect User Management,The product does not properly manage a user within its environment.
287,authentication,Improper Authentication,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct."
288,"authentication,bypass,path,channel",Authentication Bypass Using an Alternate Path or Channel,"A product requires authentication, but the product has an alternate path or channel that does not require authentication."
289,"authentication,bypass,name",Authentication Bypass by Alternate Name,"The product performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor."
290,"authentication,bypass",Authentication Bypass by Spoofing,This attack-focused weakness is caused by incorrectly implemented authentication schemes that are subject to spoofing attacks.
294,"authentication,bypass,capturereplay",Authentication Bypass by Capture-replay,A capture-replay flaw exists when the design of the product makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).
295,"certificate,validation",Improper Certificate Validation,"The product does not validate, or incorrectly validates, a certificate."
296,"following,certificate,chain,trust",Improper Following of a Certificate's Chain of Trust,"The product does not follow, or incorrectly follows, the chain of trust for a certificate back to a trusted root certificate, resulting in incorrect trust of any resource that is associated with that certificate."
299,"check,certificate,revocation",Improper Check for Certificate Revocation,"The product does not check or incorrectly checks the revocation status of a certificate, which may cause it to use a certificate that has been compromised."
300,"channel,nonendpoint",Channel Accessible by Non-Endpoint,"The product does not adequately verify the identity of actors at both ends of a communication channel, or does not adequately ensure the integrity of the channel, in a way that allows the channel to be accessed or influenced by an actor that is not an endpoint."
301,"reflection,attack,authentication,protocol",Reflection Attack in an Authentication Protocol,Simple authentication protocols are subject to reflection attacks if a malicious user can use the target machine to impersonate a trusted user.
302,"authentication,bypass,data",Authentication Bypass by Assumed-Immutable Data,"The authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker."
303,"implementation,authentication",Incorrect Implementation of Authentication Algorithm,"The requirements for the product dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect."
304,"step,authentication",Missing Critical Step in Authentication,"The product implements an authentication technique, but it skips a step that weakens the technique."
305,"authentication,bypass,weakness",Authentication Bypass by Primary Weakness,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error."
306,"authentication,function",Missing Authentication for Critical Function,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
307,"restriction,authentication,attempt",Improper Restriction of Excessive Authentication Attempts,"The product does not implement sufficient measures to prevent multiple failed authentication attempts within a short time frame, making it more susceptible to brute force attacks."
308,"use,singlefactor,authentication",Use of Single-factor Authentication,The use of single-factor authentication can lead to unnecessary risk of compromise when compared with the benefits of a dual-factor authentication scheme.
309,"use,password,system,authentication",Use of Password System for Primary Authentication,"The use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism."
311,"encryption,data",Missing Encryption of Sensitive Data,The product does not encrypt sensitive or critical information before storage or transmission.
312,"cleartext,storage,information",Cleartext Storage of Sensitive Information,The product stores sensitive information in cleartext within a resource that might be accessible to another control sphere.
319,"cleartext,transmission,information",Cleartext Transmission of Sensitive Information,The product transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.
322,"exchange,entity,authentication",Key Exchange without Entity Authentication,The product performs a key exchange with an actor without verifying the identity of that actor.
323,"nonce,pair,encryption","Reusing a Nonce, Key Pair in Encryption",Nonces should be used for the present occasion and only once.
324,"use,key,expiration,date",Use of a Key Past its Expiration Date,"The product uses a cryptographic key or password past its expiration date, which diminishes its safety significantly by increasing the timing window for cracking attacks against that key."
325,step,Missing Cryptographic Step,"The product does not implement a required step in a cryptographic algorithm, resulting in weaker encryption than advertised by the algorithm."
326,"encryption,strength",Inadequate Encryption Strength,"The product stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required."
327,"use,algorithm",Use of a Broken or Risky Cryptographic Algorithm,The product uses a broken or risky cryptographic algorithm or protocol.
328,"use,hash",Use of Weak Hash,"The product uses an algorithm that produces a digest (output value) that does not meet security expectations for a hash function that allows an adversary to reasonably determine the original input (preimage attack), find another input that can produce the same hash (2nd preimage attack), or find multiple inputs that evaluate to the same hash (birthday attack)."
330,"use,value",Use of Insufficiently Random Values,The product uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.
331,entropy,Insufficient Entropy,"The product uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others."
334,"space,value",Small Space of Random Values,"The number of possible random values is smaller than needed by the product, making it more susceptible to brute force attacks."
335,"usage,seed,number,generator",Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),The product uses a Pseudo-Random Number Generator (PRNG) but does not correctly manage seeds.
338,"use,number,generator",Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong."
340,"generation,number,identifier",Generation of Predictable Numbers or Identifiers,The product uses a scheme that generates numbers or identifiers that are more predictable than required.
341,state,Predictable from Observable State,"A number or object is predictable based on observations that the attacker can make about the state of the system or network, such as time, process ID, etc."
342,"value,value",Predictable Exact Value from Previous Values,An exact value or random number can be precisely predicted by observing previous values.
343,"value,range,value",Predictable Value Range from Previous Values,"The product's random number generator produces a series of values which, when observed, can be used to infer a relatively small range of possibilities for the next value that could be generated."
344,"use,value,context",Use of Invariant Value in Dynamically Changing Context,"The product uses a constant value, name, or reference, but this value can (or should) vary across different environments."
345,"verification,data,authenticity",Insufficient Verification of Data Authenticity,"The product does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data."
346,"origin,validation,error",Origin Validation Error,The product does not properly verify that the source of data or communication is valid.
347,"verification,signature",Improper Verification of Cryptographic Signature,"The product does not verify, or incorrectly verifies, the cryptographic signature for data."
348,"use,source",Use of Less Trusted Source,"The product has two different sources of the same data or information, but it uses the source that has less support for verification, is less trusted, or is less resistant to attack."
349,"acceptance,data,data",Acceptance of Extraneous Untrusted Data With Trusted Data,"The product, when processing trusted data, accepts any untrusted data that is also included with the trusted data, treating the untrusted data as if it were trusted."
351,"type,distinction",Insufficient Type Distinction,The product does not properly distinguish between different types of elements in a way that leads to insecure behavior.
353,"support,integrity,check",Missing Support for Integrity Check,"The product uses a transmission protocol that does not include a mechanism for verifying the integrity of the data during transmission, such as a checksum."
354,"validation,integrity,check,value",Improper Validation of Integrity Check Value,The product does not validate or incorrectly validates the integrity check values or checksums of a message. This may prevent it from detecting if the data has been modified or corrupted in transmission.
356,"product,user,action",Product UI does not Warn User of Unsafe Actions,The product's user interface does not warn the user before undertaking an unsafe action on behalf of that user. This makes it easier for attackers to trick users into inflicting damage to their system.
357,"warning,operation",Insufficient UI Warning of Dangerous Operations,"The user interface provides a warning to a user regarding dangerous or sensitive operations, but the warning is not noticeable enough to warrant attention."
358,"security,check,standard",Improperly Implemented Security Check for Standard,"The product does not implement or incorrectly implements one or more security-relevant checks as specified by the design of a standardized algorithm, protocol, or technique."
359,"exposure,information,actor",Exposure of Private Personal Information to an Unauthorized Actor,"The product does not properly prevent a person's private, personal information from being accessed by actors who either (1) are not explicitly authorized to access the information or (2) do not have the implicit consent of the person about whom the information is collected."
360,"trust,system,event,data",Trust of System Event Data,Security based on event locations are insecure and can be spoofed.
362,"execution,resource,synchronization,race,condition",Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),"The product contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently."
363,"race,condition,link",Race Condition Enabling Link Following,"The product checks the status of a file or directory before accessing it, which produces a race condition in which the file can be replaced with a link before the access is performed, causing the product to access the wrong file."
364,"handler,race,condition",Signal Handler Race Condition,The product uses a signal handler that introduces a race condition.
366,"race,condition,thread",Race Condition within a Thread,"If two threads of execution use a resource simultaneously, there exists the possibility that resources may be used while invalid, in turn making the state of execution undefined."
367,"timeofuse,toctou,race,condition",Time-of-check Time-of-use (TOCTOU) Race Condition,"The product checks the state of a resource before using that resource, but the resource's state can change between the check and the use in a way that invalidates the results of the check. This can cause the product to perform invalid actions when the resource is in an unexpected state."
368,"context,race,condition",Context Switching Race Condition,"A product performs a series of non-atomic actions to switch between contexts that cross privilege or other security boundaries, but a race condition allows an attacker to modify or misrepresent the product's behavior during the switch."
369,divide,Divide By Zero,The product divides a value by zero.
372,"state,distinction",Incomplete Internal State Distinction,"The product does not properly determine which state it is in, causing it to assume it is in state X when in fact it is in state Y, causing it to perform incorrect operations in a security-relevant manner."
374,"object,method",Passing Mutable Objects to an Untrusted Method,The product sends non-cloned mutable data as an argument to a method or function.
375,"object,caller",Returning a Mutable Object to an Untrusted Caller,Sending non-cloned mutable data as a return value may result in that data being altered or deleted by the calling function.
377,file,Insecure Temporary File,Creating and using insecure temporary files can leave application and system data vulnerable to attack.
378,"creation,file,permission",Creation of Temporary File With Insecure Permissions,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack."
379,"creation,file,directory,permission",Creation of Temporary File in Directory with Insecure Permissions,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.
385,"timing,channel",Covert Timing Channel,"Covert timing channels convey information by modulating some aspect of system behavior over time, so that the program receiving the information can observe system behavior and infer protected information."
386,"name,object",Symbolic Name not Mapping to Correct Object,"A constant symbolic reference to an object is used, even though the reference can resolve to a different object over time."
390,"detection,error,condition,action",Detection of Error Condition Without Action,"The product detects a specific error, but takes no actions to handle the error."
391,"error,condition",Unchecked Error Condition,"[PLANNED FOR DEPRECATION. SEE MAINTENANCE NOTES AND CONSIDER CWE-252, CWE-248, OR CWE-1069.] Ignoring exceptions and other error conditions may allow an attacker to induce unexpected behavior unnoticed."
392,"report,error,condition",Missing Report of Error Condition,The product encounters an error but does not provide a status code or return value to indicate that an error has occurred.
393,"return,status,code",Return of Wrong Status Code,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result."
394,"status,code,return,value",Unexpected Status Code or Return Value,"The product does not properly check when a function or operation returns a value that is legitimate for the function, but is not expected by the product."
395,"use,nullpointerexception,catch,pointer,dereference",Use of NullPointerException Catch to Detect NULL Pointer Dereference,Catching NullPointerException should not be used as an alternative to programmatic checks to prevent dereferencing a null pointer.
396,"declaration,catch,exception",Declaration of Catch for Generic Exception,Catching overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.
397,"declaration,throw,exception",Declaration of Throws for Generic Exception,Throwing overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.
400,"resource,consumption",Uncontrolled Resource Consumption,"The product does not properly control the allocation and maintenance of a limited resource, thereby enabling an actor to influence the amount of resources consumed, eventually leading to the exhaustion of available resources."
402,"transmission,resource,resource,leak",Transmission of Private Resources into a New Sphere ('Resource Leak'),The product makes resources available to untrusted parties when those resources are only intended to be accessed by the product.
403,"exposure,file,descriptor,control,file,descriptor,leak",Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak'),"A process does not close sensitive file descriptors before invoking a child process, which allows the child to perform unauthorized I/O operations using those descriptors."
404,"resource,shutdown",Improper Resource Shutdown or Release,The product does not release or incorrectly releases a resource before it is made available for re-use.
